average_flux,air_temp_avg,deep_soil_temp,mid_soil_temp,shallow_soil_temp,soil_moisture,light,time
NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
0.67521,-0.31,4.7603,3.9568,3.3674,0.21567,1.3,1.0417
0.59046,-0.61,4.4584,3.5367,2.9199,0.21067,1.3,1.0833
0.62328,-0.61,4.2327,3.2882,2.666,0.20825,1.3,1.125
0.58206,-1.06,4.0139,3.0256,2.3448,0.20533,1.3,1.1667
0.55402,-1.06,3.7891,2.7506,2.0964,0.20217,1.3,1.2083
0.51796,-1.06,3.6053,2.582,1.9723,0.201,1.3,1.25
0.61943,-1.06,3.4588,2.4367,1.8617,0.198,5.4667,1.2917
0.47369,-0.61,3.3238,2.3238,1.784,0.197,31.578,1.3333
0.57057,-0.61,3.2201,2.2407,1.7322,0.195,40.883,1.375
0.45914,1.0233,3.1442,2.2076,1.8328,0.195,199.91,1.4167
0.90951,3.5983,3.1432,2.5895,2.8538,0.194,177.27,1.4583
0.89448,3.74,3.3693,3.2643,3.9147,0.192,182.97,1.5
0.66905,5.9467,3.7007,3.889,4.7523,0.191,309.77,1.5417
0.68786,6.9844,4.1144,4.6323,5.7037,0.19,242.13,1.5833
0.66341,6.22,4.4103,4.9037,5.821,0.189,99.217,1.625
0.7742,5.4,4.6241,4.9382,5.5563,0.188,54.356,1.6667
0.69371,4.1733,4.6819,4.7238,5.0274,0.187,1.7167,1.7083
0.62294,4.15,4.6617,4.48,4.5753,0.186,1.3,1.75
0.71041,4.2444,4.5721,4.3107,4.3771,0.186,1.3,1.7917
0.86135,7.03,4.5372,4.4278,4.6909,0.18567,1.3,1.8333
0.68037,7.03,4.6248,4.6598,5.0632,0.185,1.3,1.875
0.70962,7.03,4.7452,4.8492,5.2853,0.18567,1.3,1.9167
0.71091,7.03,4.8705,5.0242,5.4638,0.189,1.3,1.9583
0.82568,7.43,4.99,5.1533,5.5903,0.192,1.3,2
0.59906,7.03,5.063,5.2595,5.6962,0.19417,1.3,2.0417
0.62527,7.03,5.1792,5.3367,5.7617,0.19733,1.3,2.0833
0.63329,7.03,5.2372,5.3958,5.8257,0.201,1.3,2.125
